src/org/teipir/softeng/SQLHelper.java:12:	Found 'DD'-anomaly for variable 'conn' (lines '12'-'24').
src/org/teipir/softeng/views/AnakoinwseisFrame.java:46:	Found 'UR'-anomaly for variable 'anakinwsi' (lines '46'-'58').
src/org/teipir/softeng/views/EisitirioFrame.java:110:	Found 'DD'-anomaly for variable 'valueLabel' (lines '110'-'113').
src/org/teipir/softeng/views/EisitirioFrame.java:110:	Found 'DD'-anomaly for variable 'valueLabel' (lines '110'-'115').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:62:	Found 'UR'-anomaly for variable 'dromologio' (lines '62'-'70').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:194:	Found 'DU'-anomaly for variable 'framePanel' (lines '194'-'243').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:194:	Found 'DU'-anomaly for variable 'framePanel' (lines '194'-'243').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:207:	Found 'DD'-anomaly for variable 'tiposEisitirio' (lines '207'-'211').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:207:	Found 'DD'-anomaly for variable 'tiposEisitirio' (lines '207'-'211').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:207:	Found 'DD'-anomaly for variable 'tiposEisitirio' (lines '207'-'214').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:207:	Found 'DD'-anomaly for variable 'tiposEisitirio' (lines '207'-'214').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:208:	Found 'DD'-anomaly for variable 'timi' (lines '208'-'218').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:208:	Found 'DD'-anomaly for variable 'timi' (lines '208'-'218').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:208:	Found 'DD'-anomaly for variable 'timi' (lines '208'-'221').
src/org/teipir/softeng/views/EkdosiEisitiriouPanel.java:208:	Found 'DD'-anomaly for variable 'timi' (lines '208'-'221').
src/org/teipir/softeng/views/LoginFrame.java:132:	Found 'DD'-anomaly for variable 'isValidUser' (lines '132'-'134').
src/org/teipir/softeng/views/LoginFrame.java:132:	Found 'DD'-anomaly for variable 'isValidUser' (lines '132'-'134').
src/org/teipir/softeng/views/LoginFrame.java:132:	Found 'DD'-anomaly for variable 'isValidUser' (lines '132'-'136').
src/org/teipir/softeng/views/LoginFrame.java:132:	Found 'DD'-anomaly for variable 'isValidUser' (lines '132'-'136').
